"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 29, 2020","4,890.0","4,700.0","4,905.0","4,675.0","1.11M","3.16%"
"Sep 28, 2020","4,740.0","4,515.0","4,740.0","4,510.0","963.30K","6.04%"
"Sep 25, 2020","4,470.0","4,290.0","4,485.0","4,275.0","541.60K","3.83%"
"Sep 24, 2020","4,305.0","4,300.0","4,375.0","4,270.0","402.70K","-1.03%"
"Sep 23, 2020","4,350.0","4,390.0","4,400.0","4,340.0","464.20K","-1.25%"
"Sep 18, 2020","4,405.0","4,390.0","4,410.0","4,355.0","450.40K","0.34%"
"Sep 17, 2020","4,390.0","4,370.0","4,435.0","4,335.0","522.10K","-1.13%"
"Sep 16, 2020","4,440.0","4,310.0","4,440.0","4,310.0","390.60K","3.26%"
"Sep 15, 2020","4,300.0","4,345.0","4,350.0","4,275.0","314.10K","-0.81%"
"Sep 14, 2020","4,335.0","4,275.0","4,370.0","4,255.0","320.90K","1.76%"
"Sep 11, 2020","4,260.0","4,270.0","4,290.0","4,210.0","419.00K","0.24%"
"Sep 10, 2020","4,250.0","4,245.0","4,275.0","4,230.0","366.80K","0.71%"
"Sep 09, 2020","4,220.0","4,250.0","4,285.0","4,215.0","742.60K","-2.31%"
"Sep 08, 2020","4,320.0","4,240.0","4,320.0","4,200.0","374.40K","2.01%"
"Sep 07, 2020","4,235.0","4,175.0","4,275.0","4,165.0","264.00K","0.95%"
"Sep 04, 2020","4,195.0","4,150.0","4,225.0","4,150.0","285.80K","-1.06%"
"Sep 03, 2020","4,240.0","4,310.0","4,315.0","4,195.0","490.70K","-1.51%"
"Sep 02, 2020","4,305.0","4,355.0","4,380.0","4,260.0","338.50K","-1.03%"
"Sep 01, 2020","4,350.0","4,295.0","4,380.0","4,290.0","293.80K","1.05%"
"Aug 31, 2020","4,305.0","4,305.0","4,405.0","4,285.0","580.90K","3.36%"
"Aug 28, 2020","4,165.0","4,270.0","4,285.0","4,135.0","645.70K","-3.03%"
"Aug 27, 2020","4,295.0","4,350.0","4,385.0","4,280.0","287.40K","-1.15%"
"Aug 26, 2020","4,345.0","4,360.0","4,365.0","4,310.0","284.20K","-0.57%"
"Aug 25, 2020","4,370.0","4,445.0","4,445.0","4,370.0","223.80K","-1.13%"
"Aug 24, 2020","4,420.0","4,330.0","4,420.0","4,290.0","359.50K","1.61%"
"Aug 21, 2020","4,350.0","4,370.0","4,440.0","4,340.0","446.90K","-0.46%"
"Aug 20, 2020","4,370.0","4,465.0","4,480.0","4,350.0","577.00K","-3.53%"
"Aug 19, 2020","4,530.0","4,530.0","4,565.0","4,495.0","358.50K","-0.11%"
"Aug 18, 2020","4,535.0","4,510.0","4,560.0","4,470.0","403.20K","0.78%"
"Aug 17, 2020","4,500.0","4,620.0","4,635.0","4,495.0","462.50K","-4.05%"
"Aug 14, 2020","4,690.0","4,620.0","4,730.0","4,605.0","384.10K","0.32%"
"Aug 13, 2020","4,675.0","4,710.0","4,725.0","4,660.0","413.40K","-0.95%"
"Aug 12, 2020","4,720.0","4,600.0","4,735.0","4,570.0","499.40K","2.72%"
"Aug 11, 2020","4,595.0","4,530.0","4,625.0","4,465.0","577.80K","1.55%"
"Aug 07, 2020","4,525.0","4,400.0","4,535.0","4,385.0","483.90K","1.57%"
"Aug 06, 2020","4,455.0","4,555.0","4,575.0","4,440.0","365.90K","-2.20%"
"Aug 05, 2020","4,555.0","4,530.0","4,590.0","4,465.0","438.30K","1.33%"
"Aug 04, 2020","4,495.0","4,435.0","4,530.0","4,425.0","518.10K","2.86%"
"Aug 03, 2020","4,370.0","4,225.0","4,375.0","4,190.0","489.20K","2.94%"
"Jul 31, 2020","4,245.0","4,350.0","4,395.0","4,245.0","563.30K","-2.41%"
"Jul 30, 2020","4,350.0","4,395.0","4,445.0","4,315.0","426.20K","-1.36%"
"Jul 29, 2020","4,410.0","4,495.0","4,530.0","4,340.0","614.60K","-1.78%"
"Jul 28, 2020","4,490.0","4,585.0","4,615.0","4,485.0","473.50K","-0.66%"
"Jul 27, 2020","4,520.0","4,515.0","4,575.0","4,455.0","698.40K","-2.06%"
"Jul 22, 2020","4,615.0","4,720.0","4,730.0","4,590.0","658.30K","-3.65%"
"Jul 21, 2020","4,790.0","4,750.0","4,795.0","4,660.0","520.90K","1.16%"
"Jul 20, 2020","4,735.0","4,730.0","4,845.0","4,670.0","532.20K","1.18%"
"Jul 17, 2020","4,680.0","4,660.0","4,710.0","4,640.0","462.40K","0.43%"
"Jul 16, 2020","4,660.0","4,720.0","4,740.0","4,640.0","509.90K","-0.43%"
"Jul 15, 2020","4,680.0","4,650.0","4,710.0","4,600.0","333.00K","0.97%"
"Jul 14, 2020","4,635.0","4,620.0","4,705.0","4,585.0","425.30K","-0.64%"
"Jul 13, 2020","4,665.0","4,670.0","4,670.0","4,530.0","493.80K","0.54%"
"Jul 10, 2020","4,640.0","4,625.0","4,700.0","4,565.0","585.60K","-0.22%"
"Jul 09, 2020","4,650.0","4,705.0","4,735.0","4,595.0","674.80K","-0.53%"
"Jul 08, 2020","4,675.0","4,760.0","4,820.0","4,675.0","772.20K","-1.27%"
"Jul 07, 2020","4,735.0","4,690.0","4,815.0","4,675.0","788.80K","0.74%"
"Jul 06, 2020","4,700.0","4,805.0","4,825.0","4,650.0","696.80K","-2.59%"
"Jul 03, 2020","4,825.0","4,770.0","4,855.0","4,705.0","459.40K","1.58%"
"Jul 02, 2020","4,750.0","4,760.0","4,855.0","4,725.0","671.50K","-0.31%"
"Jul 01, 2020","4,765.0","4,945.0","4,950.0","4,760.0","544.50K","-3.54%"
"Jun 30, 2020","4,940.0","4,935.0","4,980.0","4,845.0","504.20K","1.23%"
