"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2020","47.99","47.99","48.01","47.98","3.86M","-0.03%"
"Mar 31, 2020","48.01","47.97","48.01","47.97","7.18M","1.42%"
"Mar 30, 2020","47.34","47.11","47.50","46.91","1.21M","0.94%"
"Mar 27, 2020","46.90","47.01","47.31","46.80","1.23M","-0.13%"
"Mar 26, 2020","46.96","47.61","47.73","46.34","1.63M","-1.26%"
"Mar 25, 2020","47.56","45.95","47.71","45.21","5.57M","3.50%"
"Mar 24, 2020","45.95","45.07","46.20","44.96","1.07M","1.30%"
"Mar 23, 2020","45.36","45.63","45.99","44.63","909.00K","-0.74%"
"Mar 20, 2020","45.70","45.69","46.20","44.31","1.12M","1.08%"
"Mar 19, 2020","45.21","42.00","45.64","41.15","1.76M","11.60%"
"Mar 18, 2020","40.51","44.17","44.42","40.34","1.34M","-9.47%"
"Mar 17, 2020","44.75","44.25","45.55","41.88","1.82M","1.22%"
"Mar 16, 2020","44.21","45.82","45.82","43.17","1.52M","-4.62%"
"Mar 13, 2020","46.35","46.63","46.84","45.56","1.04M","0.22%"
"Mar 12, 2020","46.25","45.74","46.56","45.20","1.45M","0.59%"
"Mar 11, 2020","45.98","46.55","46.55","45.92","974.66K","-1.82%"
"Mar 10, 2020","46.83","45.80","46.84","45.46","1.03M","2.83%"
"Mar 09, 2020","45.54","46.13","46.21","45.20","1.14M","-1.75%"
"Mar 06, 2020","46.35","46.76","46.76","46.02","1.15M","-1.11%"
"Mar 05, 2020","46.87","46.81","46.98","46.70","395.68K","-0.19%"
"Mar 04, 2020","46.96","47.04","47.15","46.65","654.83K","0.11%"
"Mar 03, 2020","46.91","46.93","47.12","46.71","598.77K","-0.13%"
"Mar 02, 2020","46.97","47.00","47.07","46.81","1.56M","0.45%"
"Feb 28, 2020","46.76","46.42","46.97","46.42","662.62K","0.52%"
"Feb 27, 2020","46.52","46.25","46.79","46.25","774.94K","-0.30%"
"Feb 26, 2020","46.66","46.73","46.90","46.60","414.33K","0.00%"
"Feb 25, 2020","46.66","46.66","46.90","46.61","463.20K","0.13%"
"Feb 24, 2020","46.60","46.58","46.77","46.55","392.17K","-0.19%"
"Feb 21, 2020","46.69","46.77","46.95","46.62","472.05K","-0.17%"
"Feb 20, 2020","46.77","46.70","47.15","46.59","621.47K","-0.06%"
"Feb 19, 2020","46.80","46.73","46.93","46.56","1.02M","0.13%"
"Feb 18, 2020","46.74","46.65","46.86","46.28","315.72K","0.13%"
"Feb 14, 2020","46.68","46.16","46.98","46.05","1.02M","1.24%"
"Feb 13, 2020","46.11","46.24","46.25","46.09","469.83K","-0.26%"
"Feb 12, 2020","46.23","46.19","46.23","46.01","736.68K","0.11%"
"Feb 11, 2020","46.18","46.35","46.37","46.12","797.92K","-0.17%"
"Feb 10, 2020","46.26","46.37","46.37","46.19","387.07K","-0.09%"
"Feb 07, 2020","46.30","46.45","46.50","46.30","442.44K","-0.28%"
"Feb 06, 2020","46.43","46.60","46.60","46.38","545.33K","-0.24%"
"Feb 05, 2020","46.54","46.68","46.68","46.46","1.21M","-0.13%"
"Feb 04, 2020","46.60","46.80","46.83","46.55","773.68K","-0.43%"
"Feb 03, 2020","46.80","46.91","46.98","46.71","1.04M","-0.15%"
"Jan 31, 2020","46.87","46.98","47.02","46.84","1.35M","-0.21%"
"Jan 30, 2020","46.97","47.05","47.07","46.96","896.50K","-0.19%"
"Jan 29, 2020","47.06","47.10","47.15","47.05","705.61K","-0.19%"
"Jan 28, 2020","47.15","47.15","47.20","47.11","1.03M","0.11%"
"Jan 27, 2020","47.10","47.27","47.30","47.08","1.56M","0.68%"
"Jan 24, 2020","46.78","46.92","46.92","46.78","504.51K","-0.17%"
"Jan 23, 2020","46.86","46.86","46.96","46.85","814.10K","-0.02%"
"Jan 22, 2020","46.87","46.92","47.00","46.87","302.52K","0.02%"
"Jan 21, 2020","46.86","47.00","47.01","46.86","592.61K","-0.23%"
"Jan 17, 2020","46.97","47.02","47.07","46.92","1.22M","-0.13%"
"Jan 16, 2020","47.03","47.04","47.05","46.97","471.17K","0.06%"
"Jan 15, 2020","47.00","46.97","47.02","46.92","1.12M","0.06%"
"Jan 14, 2020","46.97","46.94","47.02","46.90","741.90K","0.06%"
"Jan 13, 2020","46.94","46.86","47.06","46.86","619.24K","-0.11%"
"Jan 10, 2020","46.99","47.03","47.12","46.97","1.80M","-0.06%"
"Jan 09, 2020","47.02","47.06","47.08","46.97","1.93M","-0.08%"
"Jan 08, 2020","47.06","47.07","47.14","46.98","883.69K","0.04%"
"Jan 07, 2020","47.04","46.90","47.04","46.81","1.15M","0.28%"
"Jan 06, 2020","46.91","46.85","47.00","46.77","997.28K","0.06%"
"Jan 03, 2020","46.88","46.90","47.00","46.87","551.69K","-0.32%"
"Jan 02, 2020","47.03","46.90","47.05","46.80","973.93K","0.21%"
"Dec 31, 2019","46.93","46.70","46.97","46.70","588.56K","0.43%"
"Dec 30, 2019","46.73","46.61","46.93","46.58","310.29K","0.32%"
"Dec 27, 2019","46.58","46.82","46.85","46.51","470.78K","-0.36%"
"Dec 26, 2019","46.75","46.90","46.90","46.75","156.03K","-0.23%"
"Dec 24, 2019","46.86","46.86","46.97","46.76","111.83K","0.04%"
"Dec 23, 2019","46.84","46.85","46.92","46.75","868.46K","0.17%"
"Dec 20, 2019","46.76","46.90","47.02","46.69","1.08M","-0.19%"
"Dec 19, 2019","46.85","46.91","47.13","46.81","1.17M","-0.15%"
"Dec 18, 2019","46.92","46.89","46.98","46.80","1.47M","-0.47%"
"Dec 17, 2019","47.14","47.08","47.21","47.05","599.20K","0.08%"
"Dec 16, 2019","47.10","47.55","47.55","47.10","1.19M","-0.21%"
"Dec 13, 2019","47.20","47.39","47.41","47.07","274.81K","-0.32%"
"Dec 12, 2019","47.35","47.30","47.48","47.26","673.29K","0.04%"
"Dec 11, 2019","47.33","47.27","47.38","47.01","685.70K","0.08%"
